batch 100, train_loss 379.911621,Time used 0.026997s
***************************test_batch 5400, test_rmse_loss 6.473860,test_mae_loss 2.894275,test_mape_loss 47.882072,Time used 0.133000s
batch 5500, train_loss 29.397730,Time used 0.042002s
***************************test_batch 5500, test_rmse_loss 6.478504,test_mae_loss 2.911387,test_mape_loss 46.729746,Time used 0.125007s
batch 5600, train_loss 27.279308,Time used 0.039001s
***************************test_batch 5600, test_rmse_loss 6.398736,test_mae_loss 2.877104,test_mape_loss 47.661879,Time used 0.126003s
batch 5700, train_loss 23.614668,Time used 0.043000s
***************************test_batch 5700, test_rmse_loss 6.356289,test_mae_loss 2.874087,test_mape_loss 47.174790,Time used 0.130004s
batch 5800, train_loss 26.624498,Time used 0.041003s
***************************test_batch 5800, test_rmse_loss 6.370398,test_mae_loss 2.866815,test_mape_loss 47.689500,Time used 0.134995s
batch 5900, train_loss 31.279789,Time used 0.039999s
***************************test_batch 5900, test_rmse_loss 6.472163,test_mae_loss 2.909814,test_mape_loss 46.245915,Time used 0.116002s
batch 6000, train_loss 26.634125,Time used 0.042001s
***************************test_batch 6000, test_rmse_loss 6.412186,test_mae_loss 2.884438,test_mape_loss 46.887124,Time used 0.124000s
batch 6100, train_loss 33.866947,Time used 0.046998s
***************************test_batch 6100, test_rmse_loss 6.288905,test_mae_loss 2.848791,test_mape_loss 47.642210,Time used 0.122999s
batch 6200, train_loss 30.256769,Time used 0.039001s
***************************test_batch 6200, test_rmse_loss 6.238949,test_mae_loss 2.832480,test_mape_loss 47.853192,Time used 0.136000s
batch 6300, train_loss 24.090330,Time used 0.043000s
***************************test_batch 6300, test_rmse_loss 6.247433,test_mae_loss 2.845429,test_mape_loss 47.694139,Time used 0.128997s
batch 6400, train_loss 24.578756,Time used 0.046002s
***************************test_batch 6400, test_rmse_loss 6.196460,test_mae_loss 2.816516,test_mape_loss 47.506872,Time used 0.125999s
batch 6500, train_loss 27.048477,Time used 0.040000s
***************************test_batch 6500, test_rmse_loss 6.169391,test_mae_loss 2.815948,test_mape_loss 47.111763,Time used 0.126994s
batch 6600, train_loss 26.574106,Time used 0.037999s
***************************test_batch 6600, test_rmse_loss 6.121935,test_mae_loss 2.805558,test_mape_loss 48.686873,Time used 0.120000s
batch 6700, train_loss 27.884327,Time used 0.045004s
***************************test_batch 6700, test_rmse_loss 6.273345,test_mae_loss 2.853691,test_mape_loss 47.240884,Time used 0.139000s
batch 6800, train_loss 24.752676,Time used 0.044006s
***************************test_batch 6800, test_rmse_loss 6.249846,test_mae_loss 2.849546,test_mape_loss 46.967906,Time used 0.135004s
batch 6900, train_loss 27.673830,Time used 0.041001s
***************************test_batch 6900, test_rmse_loss 6.219509,test_mae_loss 2.842105,test_mape_loss 46.898518,Time used 0.121999s
batch 7000, train_loss 24.096745,Time used 0.039998s
***************************test_batch 7000, test_rmse_loss 6.144131,test_mae_loss 2.818107,test_mape_loss 48.173821,Time used 0.122998s
batch 7100, train_loss 25.060549,Time used 0.049998s
***************************test_batch 7100, test_rmse_loss 6.159459,test_mae_loss 2.817039,test_mape_loss 47.177061,Time used 0.152000s
batch 7200, train_loss 22.837208,Time used 0.045001s
***************************test_batch 7200, test_rmse_loss 6.146004,test_mae_loss 2.817357,test_mape_loss 47.068776,Time used 0.144997s
batch 7300, train_loss 27.716408,Time used 0.055001s
***************************test_batch 7300, test_rmse_loss 6.066588,test_mae_loss 2.797495,test_mape_loss 49.162689,Time used 0.144000s
batch 7400, train_loss 23.780575,Time used 0.053002s
***************************test_batch 7400, test_rmse_loss 6.225364,test_mae_loss 2.844704,test_mape_loss 46.870073,Time used 0.159006s
batch 7500, train_loss 24.769001,Time used 0.045000s
***************************test_batch 7500, test_rmse_loss 6.228522,test_mae_loss 2.834908,test_mape_loss 46.792856,Time used 0.124000s
batch 7600, train_loss 23.540062,Time used 0.068995s
***************************test_batch 7600, test_rmse_loss 6.142117,test_mae_loss 2.812416,test_mape_loss 47.158878,Time used 0.242000s
batch 7700, train_loss 22.870472,Time used 0.041003s
***************************test_batch 7700, test_rmse_loss 6.134079,test_mae_loss 2.805384,test_mape_loss 47.755536,Time used 0.121001s
batch 7800, train_loss 22.770761,Time used 0.046004s
***************************test_batch 7800, test_rmse_loss 5.982220,test_mae_loss 2.766409,test_mape_loss 47.892071,Time used 0.121999s
batch 7900, train_loss 22.800049,Time used 0.052001s
***************************test_batch 7900, test_rmse_loss 6.210030,test_mae_loss 2.828702,test_mape_loss 46.545019,Time used 0.134000s
batch 8000, train_loss 22.280767,Time used 0.036000s
***************************test_batch 8000, test_rmse_loss 6.026717,test_mae_loss 2.772883,test_mape_loss 47.650381,Time used 0.123001s
batch 8100, train_loss 23.586702,Time used 0.046996s
***************************test_batch 8100, test_rmse_loss 6.072320,test_mae_loss 2.784227,test_mape_loss 47.137418,Time used 0.146995s
batch 8200, train_loss 21.242741,Time used 0.051001s
***************************test_batch 8200, test_rmse_loss 6.042662,test_mae_loss 2.772794,test_mape_loss 46.799534,Time used 0.122997s
batch 8300, train_loss 24.313427,Time used 0.050002s
***************************test_batch 8300, test_rmse_loss 5.933467,test_mae_loss 2.739141,test_mape_loss 47.410712,Time used 0.154997s
batch 8400, train_loss 23.593159,Time used 0.048998s
***************************test_batch 8400, test_rmse_loss 6.197577,test_mae_loss 2.822478,test_mape_loss 46.693883,Time used 0.158003s
batch 8500, train_loss 25.068523,Time used 0.052003s
***************************test_batch 8500, test_rmse_loss 6.132123,test_mae_loss 2.803533,test_mape_loss 45.852814,Time used 0.154996s
batch 8600, train_loss 25.765547,Time used 0.055001s
***************************test_batch 8600, test_rmse_loss 6.040604,test_mae_loss 2.768177,test_mape_loss 46.818216,Time used 0.172004s
batch 8700, train_loss 24.991495,Time used 0.057002s
***************************test_batch 8700, test_rmse_loss 5.951871,test_mae_loss 2.737716,test_mape_loss 46.745531,Time used 0.154000s
batch 8800, train_loss 23.240528,Time used 0.050001s
***************************test_batch 8800, test_rmse_loss 5.919997,test_mae_loss 2.729273,test_mape_loss 46.893002,Time used 0.145998s
batch 8900, train_loss 22.022493,Time used 0.048997s
***************************test_batch 8900, test_rmse_loss 5.965039,test_mae_loss 2.739865,test_mape_loss 46.601392,Time used 0.159005s
